epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,429.754,1.31103,0.88441,0.89629,0.7698,0.64571,0.69259,0.40931,1.12481,0.59603,0.83522,0.000332184,0.000332184,0.0671138
2,819.552,1.18268,0.62054,0.86138,0.74635,0.69251,0.71312,0.44569,1.06887,0.5197,0.81438,0.000665344,0.000665344,0.0341136
3,1206.68,1.14927,0.58111,0.85306,0.72759,0.66508,0.68698,0.41685,1.11678,0.57258,0.83345,0.000997894,0.000997894,0.00111284
4,1594.28,1.12574,0.56959,0.8509,0.78862,0.70292,0.74207,0.47499,0.97983,0.48613,0.80476,0.000997929,0.000997929,0.000997929
5,1978.16,1.11015,0.55291,0.84477,0.74261,0.73319,0.75526,0.4798,0.95858,0.47686,0.80133,0.000996391,0.000996391,0.000996391
6,2365.07,1.09906,0.54448,0.84472,0.79832,0.73377,0.76367,0.49368,0.95759,0.45921,0.79881,0.000994471,0.000994471,0.000994471
7,2747.15,1.07818,0.52814,0.84254,0.76146,0.7416,0.7677,0.50368,0.94265,0.45353,0.79675,0.000992045,0.000992045,0.000992045
8,3132.96,1.07277,0.52283,0.83987,0.79725,0.73622,0.77057,0.50257,0.94908,0.45729,0.79745,0.000989385,0.000989385,0.000989385
9,3515.44,1.05458,0.51127,0.837,0.80252,0.73657,0.7753,0.51296,0.93617,0.44034,0.79445,0.000986151,0.000986151,0.000986151
10,3902.92,1.05078,0.50586,0.83416,0.81603,0.74745,0.77835,0.5152,0.91913,0.43381,0.79361,0.000982495,0.000982495,0.000982495
11,4287.47,1.03749,0.49928,0.83575,0.81517,0.74578,0.78676,0.52178,0.91679,0.42528,0.79168,0.000978817,0.000978817,0.000978817
12,4677.85,1.03588,0.49541,0.83484,0.77101,0.76237,0.77527,0.50743,0.95818,0.43773,0.7973,0.000974407,0.000974407,0.000974407
13,5065.92,1.03535,0.49161,0.83212,0.81242,0.75531,0.77539,0.51859,0.8957,0.42691,0.78959,0.000969593,0.000969593,0.000969593
14,5454.48,1.02232,0.48437,0.82937,0.78648,0.78164,0.79231,0.53368,0.89007,0.40737,0.78671,0.000964378,0.000964378,0.000964378
15,5842.22,1.01051,0.48169,0.82979,0.82287,0.77336,0.79991,0.53338,0.88521,0.40923,0.78738,0.000958767,0.000958767,0.000958767
16,6232.67,1.0157,0.47659,0.83078,0.77896,0.78298,0.7944,0.53813,0.86911,0.39952,0.78486,0.000952766,0.000952766,0.000952766
17,6621.87,1.00509,0.47213,0.82899,0.78067,0.76721,0.79128,0.53639,0.87658,0.40351,0.78478,0.000946378,0.000946378,0.000946378
18,7008.74,1.00854,0.47262,0.82739,0.82774,0.77283,0.80101,0.54169,0.87543,0.40423,0.78561,0.000939609,0.000939609,0.000939609
19,7394.81,0.99361,0.46898,0.82922,0.81091,0.77232,0.79516,0.53827,0.87464,0.39894,0.78656,0.000932466,0.000932466,0.000932466
20,7782.39,1.00628,0.4702,0.82609,0.78004,0.78611,0.79662,0.538,0.87672,0.39584,0.78438,0.000924955,0.000924955,0.000924955
21,8168.85,0.98913,0.46259,0.82594,0.80239,0.77,0.79727,0.53735,0.87014,0.39943,0.78434,0.000917081,0.000917081,0.000917081
22,8556.63,0.98936,0.46151,0.82537,0.81023,0.78045,0.80703,0.54821,0.85575,0.38404,0.78279,0.000908853,0.000908853,0.000908853
23,8946.33,0.98643,0.45904,0.82579,0.8192,0.78106,0.80834,0.54605,0.86366,0.39068,0.78265,0.000900276,0.000900276,0.000900276
24,9333.06,0.98059,0.4572,0.82455,0.80788,0.79149,0.81077,0.54874,0.86896,0.38919,0.78582,0.000891358,0.000891358,0.000891358
25,9725.19,0.97225,0.44852,0.82346,0.7877,0.79739,0.80759,0.55202,0.85059,0.38104,0.78248,0.000882108,0.000882108,0.000882108
26,10116.2,0.97139,0.45138,0.82392,0.78649,0.79437,0.81045,0.55219,0.85249,0.38216,0.78237,0.000872532,0.000872532,0.000872532
27,10505.7,0.9708,0.44986,0.82294,0.82557,0.78585,0.80473,0.54829,0.85891,0.38669,0.78281,0.00086264,0.00086264,0.00086264
28,10896.2,0.98181,0.45066,0.82082,0.81151,0.79997,0.80863,0.55156,0.85217,0.38089,0.78163,0.000852439,0.000852439,0.000852439
29,11286.4,0.96056,0.44359,0.82148,0.81897,0.80243,0.8131,0.55802,0.8498,0.37652,0.78088,0.000841939,0.000841939,0.000841939
30,11675.8,0.95715,0.44185,0.82076,0.82085,0.78936,0.81356,0.5557,0.85627,0.37813,0.78297,0.000831148,0.000831148,0.000831148
31,12064.6,0.96303,0.44257,0.82117,0.81546,0.78761,0.81646,0.56309,0.84133,0.37147,0.77942,0.000820077,0.000820077,0.000820077
32,12453.2,0.96502,0.44385,0.82188,0.82106,0.79641,0.81096,0.55655,0.85367,0.37412,0.78097,0.000808733,0.000808733,0.000808733
33,12837.8,0.95025,0.43401,0.81928,0.80807,0.80613,0.81743,0.55919,0.84916,0.37053,0.78095,0.000797128,0.000797128,0.000797128
34,13229.2,0.94931,0.4361,0.81779,0.82642,0.79011,0.81594,0.55664,0.85875,0.37187,0.78184,0.000785271,0.000785271,0.000785271
35,13618.3,0.95025,0.43016,0.81717,0.82721,0.79706,0.82005,0.566,0.83982,0.36753,0.77831,0.000773173,0.000773173,0.000773173
36,14006.7,0.94415,0.43512,0.81871,0.81265,0.80306,0.81508,0.56178,0.83602,0.36343,0.77822,0.000760843,0.000760843,0.000760843
37,14396.8,0.93926,0.42846,0.81797,0.81555,0.79785,0.81973,0.56496,0.84013,0.36406,0.7789,0.000748293,0.000748293,0.000748293
38,14787.7,0.94022,0.42544,0.8178,0.82565,0.79913,0.81768,0.56501,0.84084,0.36503,0.78047,0.000735533,0.000735533,0.000735533
39,15176.5,0.93231,0.42385,0.81761,0.80488,0.80189,0.81559,0.56322,0.83118,0.36188,0.77797,0.000722574,0.000722574,0.000722574
40,15563.7,0.93105,0.42277,0.81427,0.81226,0.79934,0.81791,0.56771,0.82478,0.35992,0.7775,0.000709428,0.000709428,0.000709428
41,15953.6,0.94003,0.42406,0.81426,0.82632,0.79887,0.82107,0.56993,0.82792,0.35712,0.77807,0.000696105,0.000696105,0.000696105
42,16342.1,0.93821,0.42454,0.8148,0.81054,0.8061,0.82348,0.57023,0.82855,0.35761,0.77777,0.000682618,0.000682618,0.000682618
43,16732.6,0.93029,0.41808,0.81477,0.82109,0.80493,0.82293,0.57143,0.82186,0.35571,0.77601,0.000668978,0.000668978,0.000668978
44,17123.1,0.92135,0.418,0.81576,0.8026,0.80709,0.82227,0.57184,0.82198,0.35524,0.77741,0.000655196,0.000655196,0.000655196
45,17514,0.93334,0.41938,0.81479,0.81078,0.80468,0.82446,0.57351,0.82397,0.35461,0.77702,0.000641285,0.000641285,0.000641285
46,17908.5,0.92005,0.41721,0.81353,0.82087,0.79549,0.82471,0.57383,0.81604,0.35394,0.77583,0.000627257,0.000627257,0.000627257
47,18296.1,0.92275,0.41681,0.81487,0.82159,0.80212,0.82508,0.57381,0.81805,0.35206,0.77768,0.000613123,0.000613123,0.000613123
48,18685.2,0.92242,0.41806,0.81524,0.82348,0.80549,0.82528,0.57434,0.81987,0.35149,0.77638,0.000598896,0.000598896,0.000598896
49,19075,0.92494,0.41986,0.81339,0.82707,0.8069,0.82707,0.57617,0.81209,0.35105,0.77661,0.000584587,0.000584587,0.000584587
50,19465,0.90918,0.41005,0.81142,0.82308,0.81495,0.82565,0.57556,0.8145,0.34999,0.7772,0.000570211,0.000570211,0.000570211
51,19849.5,0.91183,0.41133,0.81367,0.80785,0.812,0.82683,0.57598,0.81533,0.34874,0.77591,0.000555778,0.000555778,0.000555778
52,20236.1,0.91152,0.40815,0.81191,0.82432,0.80742,0.82665,0.57674,0.81257,0.34692,0.77552,0.000541301,0.000541301,0.000541301
53,20627.1,0.91121,0.40723,0.81262,0.83156,0.8012,0.82843,0.57676,0.81496,0.34674,0.77545,0.000526793,0.000526793,0.000526793
54,21016.7,0.91205,0.40934,0.81279,0.81614,0.80989,0.82688,0.57565,0.81795,0.34726,0.77589,0.000512267,0.000512267,0.000512267
55,21406.7,0.89677,0.40084,0.81106,0.81861,0.80786,0.82868,0.57882,0.81475,0.34592,0.77648,0.000497733,0.000497733,0.000497733
56,21796,0.89876,0.40225,0.81085,0.81809,0.81116,0.82906,0.58079,0.80654,0.34337,0.77544,0.000483207,0.000483207,0.000483207
57,22183.6,0.89398,0.39936,0.81135,0.82411,0.80842,0.82859,0.58188,0.80788,0.34385,0.77461,0.000468699,0.000468699,0.000468699
58,22574.9,0.89304,0.39809,0.80791,0.82305,0.80933,0.82995,0.58068,0.80926,0.34272,0.7745,0.000454222,0.000454222,0.000454222
59,22965.8,0.89892,0.39901,0.80959,0.82131,0.80973,0.82965,0.5814,0.80559,0.3419,0.77381,0.000439789,0.000439789,0.000439789
60,23354,0.89782,0.39728,0.81025,0.82134,0.80827,0.83016,0.58085,0.80732,0.34211,0.77446,0.000425413,0.000425413,0.000425413
61,23743.6,0.88663,0.3946,0.8115,0.82466,0.80863,0.83041,0.5816,0.80684,0.34176,0.77437,0.000411104,0.000411104,0.000411104
62,24132.1,0.88865,0.39396,0.81127,0.81516,0.81485,0.82958,0.58277,0.80505,0.34032,0.77385,0.000396877,0.000396877,0.000396877
63,24521.6,0.88704,0.39579,0.80984,0.82504,0.81119,0.83093,0.58336,0.80218,0.3392,0.77441,0.000382743,0.000382743,0.000382743
